date,ID,Day,T.T_TIME,T.TOTAL_DISTANCE,T.HIGH_INTENSITY_DISTANCE,T.SPRINT_DISTANCE,T.PLAYER_LOAD,T.HEART_RATE_EXERTION,T.ACC_DEC_LOAD,T.PEAK_SPEED,T.HRE_PL_LOAD,T.VOLUME_STATUS,T.INTENSITY_STATUS,T.VOLUME_RATIO,T.INTENSITY_RATIO,T.MONOTONY_VOLUME,T.MONOTONY_INTENSITY,G.HI_IP_m,G.HI_IP_m.pc,G.HI_IP_m.min,G.HI_OP_m,G.HI_OP_m.pc,G.HI_OP_m.min,G.HID_m,G.HID_m.min,G.IP_mins,G.MINS,G.OP_mins,G.SPR_m,G.SPR_m.min,G.TD_m,G.TD_m.min,G.TD_IP_m,G.TD_IP_m.pc,G.TD_IP_m.min,G.TD_OP_m,G.TD_OP_m.pc,G.TD_OP_m.min,matchPeriods,GameYN,NDs,sleep,muscleSoreness,pExertion,wellbeing
20140630,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5.21,8,6,8.964314925
20140701,4,2,64,8061,214,14,771,159,270,25,2.1,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,4.82,2,9,13.91449526
20140702,4,3,50,4794,51,,526,150,121,24,2.9,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,6.94,9,6,11.6937871
20140703,4,4,,,,,,,,,,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,5.76,1,1,12.68570281
20140704,4,5,,,,,,,,,,18,11,100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,6.23,1,7,11.9671955
20140705,4,6,,,,,,,,,,18,11,100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,6.91,8,1,11.61016566
20140706,4,7,,,,,,,,,,18,11,37,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,0,0,6,5.29,1,2,12.77190651
20140707,4,8,66,5493,1111,732,649,135,230,28,2.1,26,55,30,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,0,0,7,6.09,8,8,8.940257392
20140708,4,9,,,,,,,,,,26,55,30,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,0,0,8,5.94,1,9,17.4439748
20140709,4,10,66,5155,989,688,668,145,142,29,2.2,33,94,45,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,0,0,9,6.54,7,4,6.808815853
20140710,4,11,94,3950,468,342,479,205,263,28,4.3,39,113,53,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,0,0,10,5.64,2,9,11.84689237
20140711,4,12,,,,,,,,,,39,113,53,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,0,0,11,5.98,3,3,21.28816966
20140712,4,13,,,,,,,,,,39,113,33,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,0,0,12,7.25,8,4,11.83130056
20140713,4,14,79,2971,274,124,345,101,171,27,2.9,43,123,40,0.6,1,0.9,,,,,,,,,,,,,,,,,,,,,,0,0,13,5.18,3,6,10.62473407
20140714,4,15,82,3718,11,,471,110,114,23,2.3,48,124,31,0.2,1,0.7,,,,,,,,,,,,,,,,,,,,,,0,0,14,6.41,6,9,15.10459627
20140715,4,16,,,,,,,,,,37,115,26,0.1,1,0.7,,,,,,,,,,,,,,,,,,,,,,0,0,15,6.35,1,2,15.6772888
20140716,4,17,,,,,,,,,,30,113,31,0.1,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,0,0,16,7.31,1,9,13.64739996
20140717,4,18,90,4978,361,181,640,152,370,28,2.4,37,128,44,0.2,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,0,0,17,5.56,2,7,13.28629061
20140718,4,19,49,2733,28,,328,74,98,23,2.3,41,129,39,0.1,1,0.6,,,,,,,,,,,,,,,,,,,,,,0,0,18,6.52,9,5,15.03723617
20140719,4,20,,,,,,,,,,41,129,27,0.1,1,0.6,,,,,,,,,,,,,,,,,,,,,,0,0,19,7.07,3,4,14.0213845
20140720,4,21,,,,,,,,,,41,129,27,0.1,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,0,0,20,5.51,9,5,11.10427804
20140721,4,22,90,4500,250,100,650,140,300,28,2.2,40,95,44,0.3,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,0,0,21,5.59,7,9,11.12171342
20140722,4,23,68,3955,25,7,590,,196,24,,45,96,35,0.1,1,0.6,,,,,,,,,,,,,,,,,,,,,,0,0,22,7.22,6,7,13.64539521
20140723,4,24,,,,,,,,,,38,56,32,0.2,1,0.6,,,,,,,,,,,,,,,,,,,,,,0,0,23,5.74,1,3,15.59029156
20140724,4,25,83,6295,995,671,672,83,299,28,1.2,41,77,51,0.7,1,0.5,,,,,,,,,,,,,,,,,,,,,,0,0,24,6.5,3,2,12.10040122
20140725,4,26,78,3799,388,245,512,78,175,27,1.5,47,93,56,0.7,1,0.6,,,,,,,,,,,,,,,,,,,,,,0,0,25,5.8,4,9,12.8364551
20140726,4,27,,,,,,,,,,47,93,43,0.6,1,0.6,,,,,,,,,,,,,,,,,,,,,,0,0,26,4.86,5,7,13.63841061
20140727,4,28,,,,,,,,,,42,82,34,0.7,1,0.6,,,,,,,,,,,,,,,,,,,,,,0,0,27,5.39,5,5,13.19374024
20140728,4,29,,,,,,,,,,37,81,38,0.7,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,0,0,28,3.68,2,6,15.26002202
20140729,4,30,87,2659,150,77,312,88,143,26,2.8,41,87,22,0.2,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,0,0,29,6.1,3,1,12.61853688
20140730,4,31,81,5217,568,119,591,82,228,26,1.4,48,110,23,0.3,1,0.8,,,,,,,,,,,,,,,,,,,,,,0,0,30,5.74,3,7,12.02095577
20140731,4,32,,,,,,,,,,41,96,27,0.3,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,0,0,31,5.83,9,8,13.01884407
20140801,4,33,71,4102,5,,516,71,251,21,1.4,43,95,39,0.3,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,0,0,32,5.93,6,4,12.49770608
20140802,4,34,,,,,,,,,,43,95,39,0.3,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,0,0,33,7.18,9,6,7.695638706
20140803,4,35,,,,,,,,,,43,95,31,0.2,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,0,0,34,5.81,8,3,13.20455067
